[1]罗云萍,王威. miR#100抑制剂在降低癌症转移中的用途[P]. 北京：CN106244679A,2016-12-21.
[14]黄薇,邵志敏,施锦绣,胡欣. 专用型BRCA1基因多重PCR建库试剂盒[P]. 上海：CN106191268A,2016-12-07.

[15]黄薇,邵志敏,施锦绣,胡欣. 通用型BRCA1基因多重PCR建库试剂盒[P]. 上海：CN106191269A,2016-12-07.

[16]黄薇,邵志敏,施锦绣,胡欣. 专用型BRCA2基因多重PCR建库试剂盒[P]. 上海：CN106191271A,2016-12-07.

[17]黄薇,邵志敏,施锦绣,胡欣. 通用型BRCA2基因多重PCR建库试剂盒[P]. 上海：CN106191272A,2016-12-07.

[18]郑国沛,贺智敏,张志杰,李洪胜,邱霓. 一种组合物在诊断三阴型乳腺癌中的应用[P]. 广东：CN106191275A,2016-12-07.

[19]李蒙. 一种CRISPR#Cas9系统及其用于治疗乳腺癌疾病的应用[P]. 江苏：CN106191071A,2016-12-07.

[20]W-H·胡,S-H·刘,F·M·佩尔纳塞蒂. 抗CXCR4抗体及抗体#药物缀合物[P]. 美国：CN106211774A,2016-12-07.

[21]王亚帝,任立群,李敏,陈素贤,何东宁. 利用mRNA表达谱与竞争性内源RNA表达谱联合筛选蒽环类药物心脏毒性基因的方法[P]. 吉林：CN106202993A,2016-12-07.

[22]王冰婵,缪苏宇,史跃年. 2#羟基雌激素在制备用于治疗与雌激素相关疾病的药物中的应用[P]. 江苏：CN106176765A,2016-12-07.

[23]章晓波,陈玉磊. 对虾miR#35在对虾抗病毒和抑制人肿瘤转移中的应用[P]. 浙江：CN106176795A,2016-12-07.

[24]W.Y.陈. 用于治疗卵巢癌的催乳素受体拮抗剂和化疗药物的用途[P]. 美国：CN106177915A,2016-12-07.

[25]詹姆士·W·里拉尔德,施艾赖施·清,拉杰施·清. 抗CXCL13抗体和抗CXCR5抗体在恶性肿瘤的治疗或检测中的用途[P]. 美国：CN106177930A,2016-12-07.

[26]詹姆斯·W·利拉德,沙伊莱什·辛格,拉杰什·辛格. 用于预防和治疗癌症和癌细胞迁移的抗CCL25抗体和抗CCR9抗体[P]. 美国：CN106177946A,2016-12-07.

[27]W.Y.陈. 使癌干细胞可视化并消除癌干细胞的组合物和方法[P]. 美国：CN106177954A,2016-12-07.

[28]张海鹏,邓静,林园,W.K.凯夫尼,程世源,高光坪,林穗珍,吕凌,蔡静,龚守芳,胡骏,白雪涛,肖晓,李凯,梁剑开,谭亚倩,朱文博,银巍,颜光美. VCP抑制剂和溶瘤病毒在制备抗肿瘤药物中的应用[P]. 广东：CN106177961A,2016-12-07.

[29]章晓波,刘翠莲. miR#1在制备治疗胃癌和乳腺癌药物中的应用[P]. 浙江：CN106177994A,2016-12-07.

[30]奥斯丁·L·格尼,富米考·塔卡达·阿克塞尔罗德,蒂莫西·查尔斯·霍伊,C·沙尔捷-库尔托. RSPO结合剂和其应用[P]. 美国：CN106167526A,2016-11-30.

[31]王建军,李倩倩,麦可·乔普,姜丰,吴国俊. 与通过蛋白诱导的体内细胞重编程的细胞转化相关的方法、系统和组合物[P]. 美国：CN106170295A,2016-11-30.

[32]L·K·麦蒂娜-卡韦,J·西姆斯,M·塔谷艾米,C·汉森,X·崔. 用HER3靶向纳米粒子靶向曲妥珠单抗抗性HER2+乳腺癌[P]. 美国：CN106170305A,2016-11-30.

[33]何钊,林广萧,朱升龙. 一种辅助雷帕霉素治疗多种肿瘤的药物组合物[P]. 江苏：CN106166296A,2016-11-30.

[34]D·P·哈金,R·肯尼迪,K·E·基廷,A·麦卡维干,L·A·希尔,S·德哈罗,T·达维森,F·帕特森,S·多尼干,G·耶乐玛,C·古尔利. 用于预测对抗血管生成药的应答和癌症预后的分子诊断测试[P]. 英国：CN106164296A,2016-11-23.

[35]谭若颖,朱苗骏,刘子静,于观贞,房文铮,王杰军. 一种检测Her2基因的试剂盒及其用途[P]. 上海：CN106148496A,2016-11-23.

[36]高鹏,邢爱艳,王亚文,李玉红,陈旭. microRNA标志物组及其在制备评价乳腺癌化疗敏感性试剂盒中的应用[P]. 山东：CN106148538A,2016-11-23.

[37]M·施米特,L·桑德斯,R·拉贾,R·D·帕特尔. 用于癌症治疗的诊断方法和组合物[P]. 瑞士：CN106148547A,2016-11-23.

[38]A·切尔科索夫,P·S·伦尼,班福强,李慧芳,E·J·J·勒布拉克,S·巴比,E·博戈莫勒,K·杜纳耶科,A·V·特维尔多赫列博夫,K·达拉尔. 作为治疗剂的人雄激素受体DNA#结合结构域(DBD)化合物及其使用方法[P]. 加拿大：CN106164071A,2016-11-23.

[39]黄波,张一,马婧薇. 一种肿瘤化疗药物制剂组合[P]. 湖北：CN106139148A,2016-11-23.

[40]A·洛,M·C·米伦,D·J·鲍威尔,Y·赵. 使用嵌合抗原受体治疗癌症[P]. 瑞士：CN106163547A,2016-11-23.

[41]丹尼尔·D·冯霍夫,罗伯特·J·佩妮. 描绘肿瘤类型生物标志模式和特征集的基因靶和基因表达的蛋白靶[P]. 美国：CN106153918A,2016-11-23.

[42]M·C·格林,A·E·瓜尔迪诺. 用曲妥珠单抗#MCC#DM1和帕妥珠单抗治疗早期乳腺癌的方法[P]. 瑞士：CN106163558A,2016-11-23.

[43]T·黑特曼,R·亚伯拉罕,S·布卢姆,上野杰. 抗HER3抗体#药物偶联物[P]. 日本：CN106163559A,2016-11-23.

[44]陈建萍,高飞,王能,郑骁. 一种预防或治疗乳腺癌的外用制剂[P]. 四川：CN106138186A,2016-11-23.

[45]徐兵河,马飞,李俏. 预测乳腺癌患者对吡咯替尼治疗反应性的生物标记物[P]. 北京：CN106119398A,2016-11-16.

[46]C·A·萨巴托斯-佩顿,B·布拉尼迪,A·S·哈里斯,T·胡贝尔,T·皮聪卡,J·M·玛塔拉扎,W·A·布莱特勒,D·J·哈克林,M·瓦斯克兹,R·H·德克吕夫,D·T·梅津,G·J·弗里曼,T·胡,J·A·塔拉斯卡,F·许. 针对TIM#3的抗体分子及其用途[P]. 瑞士：CN106132991A,2016-11-16.

[47]D·W·库弗,S·克哈班达. 针对MUC1#C/胞外结构域(MUC1#C/ECD)的抗体[P]. 美国：CN106132992A,2016-11-16.

[48]Y·严. BRCA1缺陷性癌症或抗性癌症的治疗[P]. 美国：CN106132203A,2016-11-16.

[49]张健行,D.M.戈登伯格,E.A.罗西,D.罗西. 通过诱导对TROP#2表达细胞的免疫应答的疾病疗法[P]. 美国：CN106132436A,2016-11-16.

[50]不公告发明人. 防治乳腺癌的药物组合物[P]. 山东：CN106109585A,2016-11-16.

[51]铃木隆二,新井理. T细胞受体和B细胞受体库分析系统及其在治疗和诊断中的应用[P]. 日本：CN106103711A,2016-11-09.

[52]冈野文义,铃木佳奈. 癌的检测方法[P]. 日本：CN106086177A,2016-11-09.

[53]F·特里贝尔,C·布里尼奥内,W·A·布莱特勒,J·M·玛塔拉扎,C·A·萨巴托斯-佩顿,H·W·常,G·J·弗雷. 针对LAG#3的抗体分子及其用途[P]. 瑞士：CN106103484A,2016-11-09.

[54]G·J·弗里曼,A·H·夏普,W·A·布莱特勒,J·M·玛塔拉扎,C·A·萨巴托斯-佩顿,H·W·常,G·J·弗雷. PD#1的抗体分子及其用途[P]. 美国：CN106103485A,2016-11-09.

[55]杜常春,J·金,J·朱,J·贝弗斯,K·沃尔什,P·德阿梅达,J·安德亚,Y·沈. 抗OX40抗体和使用方法[P]. 瑞士：CN106103486A,2016-11-09.

[56]杜鹃,陈宁,周琦. 一种治疗乳腺癌及乳腺增生的中药组合物及其制备方法[P]. 黑龙江：CN106074960A,2016-11-09.

[57]詹姆斯·W·利拉德,沙伊莱什·辛格,拉杰什·辛格. 抗CXCL16 抗体和抗CXCR6 抗体在治疗或检测癌症中的用途[P]. 美国：CN106093388A,2016-11-09.

[58]杨义,广茜茜,耿春芳. 一种检测乳腺癌HER2基因的方法[P]. 山东：CN106093395A,2016-11-09.

[59]冈野文义,铃木佳奈. 癌的检测方法[P]. 日本：CN106093398A,2016-11-09.

[60]冈野文义,铃木佳奈. 癌的检测方法[P]. 日本：CN106093399A,2016-11-09.

[61]J·张,J·金. 包含OX40结合激动剂和PD#1轴结合拮抗剂的组合疗法[P]. 瑞士：CN106102774A,2016-11-09.

[62]永瀬浩喜,杉山弘,板东俊和. 以癌症驱动基因的基因突变为靶点进行烷基化的新型烷基化剂[P]. 日本：CN106068266A,2016-11-02.

[63]林有升,单战,王淑一. SFRP4基因启动子甲基化检测的引物和检测方法[P]. 上海：CN106048035A,2016-10-26.

[64]黄平,欧阳小峰,毛家丽,彭宇. 一种乳腺癌易感基因检测试剂盒[P]. 四川：CN106048060A,2016-10-26.

[65]曾宪卓,张翼. CAR#T细胞及其制备方法与应用[P]. 广东：CN106047817A,2016-10-26.

[66]李全顺,兴振,王旭,杨洁冰,杨艳,施维. 一种靶向SALL4基因的脱氧核酶分子及在乳腺癌基因治疗中的应用[P]. 吉林：CN106047874A,2016-10-26.

[67]冈野文义,铃木佳奈. 癌的检测方法[P]. 日本：CN106053833A,2016-10-26.

[68]不公告发明人. 防治乳腺癌的药物组合物及其制备方法[P]. 山东：CN106038638A,2016-10-26.

[69]冈野文义,井户隆喜,斋藤孝则,小林真一. 用于治疗和预防癌症的药物组合物[P]. 日本：CN106039307A,2016-10-26.

[70]宋立兵,李隽,张鑫,王曦,林楚勇,叶丽平. ZNF367基因在制备治疗乳腺癌药物、诊断及预后评估试剂中的应用[P]. 广东：CN106039312A,2016-10-26.

[71]樊官伟,魏静,高秀梅,陈景瑞,邱峰,刘二伟. 基于桑白皮中雌激素样成分的筛选方法、雌激素作用验证方法及应用[P]. 天津：CN106011218A,2016-10-12.

[72]章文羿,李晶,崔航,黄清瑞. 用于人外周血循环肿瘤DNA中Her2基因扩增的试剂盒[P]. 北京：CN106011239A,2016-10-12.

[73]贾红杰,曹静萍. 用于乳腺癌耐药检测的基因数组结构[P]. 上海：CN205635600U,2016-10-12.

[74]乔纳森·利姆,埃琳娜·阿笛尼,玛利亚·美尼钱谢利. 治疗具有ROS1突变型癌细胞的患者的化合物[P]. 美国：CN106029073A,2016-10-12.

[75]常宏渊,王鹏,薛梦竹. FOXC1和EN1在制备或筛选诊断乳腺癌的药物或试剂盒、或筛选治疗乳腺癌的药物中的用途[P]. 上海：CN105986009A,2016-10-05.

[76]邵志敏,黄晓燕,徐晓晶. 一组用于三阴性乳腺癌预后的基因及其应用[P]. 上海：CN105986024A,2016-10-05.

[77]张桢珍,许骋,易静,丁飞飞,徐本梅,吴云鸣,楼敬伟,王剑鹏,崔祥滨,王臻,王岭,盛湲. 一种利用ddPCR技术检测乳腺癌HER2阳性的方法[P]. 上海：CN105986028A,2016-10-05.

[78]解云涛,孙洁,张娟. 肿瘤易感62基因及其应用[P]. 北京：CN105986031A,2016-10-05.

[79]周清,舒孟军,何珠子,林军. 全人源HER2抗体的突变抗体及其编码基因和应用[P]. 上海：CN105985435A,2016-10-05.

[80]赵子建,周素瑾,林艳,赵正刚,李芳红. 基因工程菌VNP20009-M在制备预防和治疗癌症转移的药物上的应用[P]. 广东：CN105983103A,2016-10-05.

[81]郭方,王雪枫,严向明. 用于乳腺癌诊断的联合肿瘤标志物及其试剂盒[P]. 上海：CN105987999A,2016-10-05.

[82]盛望,夏阳,邓雄威,肖向茜,张芳,周韶梅,曾毅. 一种ASBEL抑制剂及其在治疗三阴性乳腺癌药物中的应用[P]. 北京：CN105969770A,2016-09-28.

[83]R·戈米斯,E·普拉内特,M·帕夫洛维茨,A·阿纳尔,M·塔拉戈纳. 用于源自乳腺癌的骨转移癌的预后和治疗的方法[P]. 西班牙：CN105980576A,2016-09-28.

[84]张核子. 乳腺癌易感基检测芯片及其制备方法[P]. 广东：CN105969859A,2016-09-28.

[85]大卫·斯佩兹勒,瓦列里·多曼俞克,年庆·肖,亚当·斯塔克,钟振宇. 寡核苷酸探针及其用途[P]. 瑞士：CN105980615A,2016-09-28.

[86]N·E·韦塞,G·Y·K·吴,G·R·威克曼,S·B·迪克西特,E·埃斯科巴-卡布瑞拉,M·桑彻斯. 靶向HER2的双特异性抗原结合构建体[P]. 加拿大：CN105980409A,2016-09-28.

[87]蒂莫西·达伦·尤班克,克莱·布拉登·马什,杜亚·达卡拉拉赫. 调整DNA甲基化的组合物和方法[P]. 美国：CN105979779A,2016-09-28.

[88]阿斯亚·格林贝格,约翰·克诺夫,拉温德拉·库马尔,罗伯特·斯科特·皮尔索尔,亚斯比尔·西拉,克里斯蒂安·彼得拉斯. 用于调节血管发生和周细胞包裹的基于ALK1拮抗剂的方法和组合物[P]. 美国：CN105963695A,2016-09-28.

[89]庞达,张显玉,肖云,魏巍. 用于人乳腺癌循环肿瘤DNA检测的探针及其用途[P]. 黑龙江：CN105950739A,2016-09-21.

[90]王锦杰,宋现让. 一种靶向乳腺癌干细胞的双特异性嵌合抗原受体基因修饰的T淋巴细胞的制备方法及其产品[P]. 江苏：CN105950561A,2016-09-21.

[91]C·M·克罗斯,S·弗里尼亚. 浸润性和预后的乳腺癌生物标志物标签[P]. 美国：CN105936932A,2016-09-14.

[92]G·Y·K·吴,P·W·Y·陈,G·R·威克曼. 靶向EGFR和/或HER2的单价抗原结合构建体及其用途[P]. 加拿大：CN105940113A,2016-09-14.

[93]刘华忠,罗萍. 一种具有乳腺癌化疗增效活性的乌贼墨制剂的制备方法及其应用[P]. 广东：CN105920048A,2016-09-07.

[94]A·帕尼奇,B·西尔. 基于细胞渗透性肽的激酶抑制剂[P]. 美国：CN105920582A,2016-09-07.

[95]K·林. PARP抑制剂用以治疗显示杂合性丧失的乳腺癌或卵巢癌患者的用途[P]. 美国：CN105917007A,2016-08-31.

[96]陈建勋,黄启明. 一种介导抗体依赖性的细胞毒性的细胞因子诱导杀伤细胞的制备方法及其试剂盒[P]. 北京：CN105907789A,2016-08-31.

[97]C·M·克罗斯,G·A·卡林,S·沃林尼亚. 用于诊断和治疗实体癌的基于微小RNA的方法和组合物[P]. 美国：CN105907842A,2016-08-31.

[98]赵艳艳,朱利楠,杨再刚,岳欣阁,桑海强,宋春花. 一种用MwoI鉴定人乳腺癌BRCA2基因rs15869多态性的方法[P]. 河南：CN105907880A,2016-08-31.

[99]蔡维泺. miR-124在乳腺癌骨转移疾病中的应用[P]. 上海：CN105907886A,2016-08-31.

[100]C·M·克劳斯,G·A·卡琳. 用于乳腺癌的诊断、预后和治疗的基于MicroRNA的方法和组合物[P]. 美国：CN105902559A,2016-08-31.

[101]E·乔马内瓦尔,B·T·H·特鲁昂,I·陈,J·H·黑格,D·F·罗伊乔杜里. 用于治疗局部晚期或转移性雌激素受体阳性乳腺癌的雌激素受体调节剂[P]. 瑞士：CN105916501A,2016-08-31.

[102]郝淮杰. 一种检测循环肿瘤细胞的试剂盒[P]. 北京：CN105886601A,2016-08-24.

[103]尼古拉·阿斯托,丹尼尔·阿里·哈伯尔,夏伊阿迈拉·马赫斯瓦兰. 与循环肿瘤细胞簇有关的方法以及癌症的治疗[P]. 美国：CN105899679A,2016-08-24.

[104]威廉·多克特,彼得·约翰内斯·戈耶丁斯,海斯贝特斯·弗朗西斯库斯·玛丽亚·费尔海登,帕特里克·亨利·伯斯克尔. 表现出改进的体内抗肿瘤活性的倍癌霉素ADC[P]. 荷兰：CN105899236A,2016-08-24.

[105]曹新,秦路洋,魏钦俊,姚俊,鲁雅洁. 联合表达microRNAs抑制乳腺癌细胞增殖的载体及其构建方法和应用[P]. 江苏：CN105861551A,2016-08-17.

[106]晏星,李雪梅,叶伦,程弘夏,陈刚. 一种用于荧光原位杂交FFPE组织切片的预处理液及预处理方法[P]. 湖北：CN105861659A,2016-08-17.

[107]D·A·斯特普汉,J·韦塞尔,M·卡尔吉尔,E·哈尔珀林. 使用祖先数据进行基因组分析的方法和系统[P]. 美国：CN105861664A,2016-08-17.

[108]赵建华,唐金海,钟山亮,刘志安,于丹丹. 一种检测乳腺癌细胞耐药性的方法及检测试剂盒[P]. 江苏：CN105861695A,2016-08-17.

[109]黄家琪,C·莫尔豪斯,姚意弘,T·拉瓦尔. IR-A 和 IR-B 的定量用于肿瘤分类[P]. 美国：CN105861698A,2016-08-17.

[110]康春生,任玉,王琦雪,王蕴非,周冰聪,周俊虎. Hotair小分子抑制剂及在制备治疗肿瘤药物中的应用[P]. 天津：CN105859749A,2016-08-17.

[111]葛毅媛,陈俊飞,郑焱,谢龙旭. PIK3CA基因突变检测试剂盒[P]. 广东：CN105838823A,2016-08-10.

[112]N.格雷,T.张,S.西布拉特,M.勒布朗,J.J.马里诺,J.摩尔,K.斯普罗特,M.A.西迪基,A.卡巴罗,T.米勒,S.罗伊,D.施密特,D.K.温特,M.布拉德利. 周期蛋白依赖性激酶7(CDK7)的多环抑制剂[P]. 美国：CN105849099A,2016-08-10.

[113]T·查尔德斯,N·加博里,C·拉鲍雷特,A·佩勒格林. 神经调节蛋白变构抗HER3抗体[P]. 法国：CN105849125A,2016-08-10.

[114]N·P·德塞,P·孙雄. 治疗增殖性疾病的联合治疗方法[P]. 美国：CN105832703A,2016-08-10.

[115]刘东旭. SHON作为癌症预后生物标志物并预测癌症内分泌治疗的疗效[P]. 北京：CN105849565A,2016-08-10.

[116]马蒂亚斯·施耐德,塞拜恩·布卢姆,罗伯特·艾伦·贝克曼,丹尼尔·J·弗里曼,金小平,蕾妮·珍妮·门德尔-哈拉里. 核酸生物标志物及其用途[P]. 日本：CN105848678A,2016-08-10.

[117]罗纳德·莱维,贝蒂·张,帕特里克·恩吉,伊迪特·萨吉夫-巴尔菲,霍尔布鲁克·E·K·科霍特. 使用布鲁顿酪氨酸激酶抑制剂和免疫疗法的治疗[P]. 美国：CN105848680A,2016-08-10.

[118]安娜·巴兰诺娃,斯韦特兰娜·科斯特约克,纳塔利娅·韦科. 作为应激生物标志物的氧化细胞外DNA部分及其使用方法[P]. 美国：CN105848681A,2016-08-10.

[119]马瑞克·达特曼,因克·赛宾·费德,马蒂亚斯·格尔曼,圭多·亨尼希,卡斯滕·韦伯,克里斯蒂安·冯托尔讷,拉尔夫·克罗嫩维特,克里斯托夫·佩特里. 用于内分泌治疗下的乳腺癌复发预测的方法[P]. 德国：CN105821125A,2016-08-03.

[120]徐霆,须涛,汪皛皛,李倩,逄敏洁,张慧敏,韩莉,张庆青. 具有共同轻链的双特异性抗体或抗体混合物[P]. 江苏：CN105820251A,2016-08-03.

[121]内藤博之,扇谷祐辅,益田刚,中田隆,吉田昌生,芦田真二,森田浩司,宫崎秀树,粕谷裕司,早川市郎,阿部有生. 抗HER2抗体－药物偶联物[P]. 日本：CN105829346A,2016-08-03.

[122]R·克罗斯代尔,L·J·杜尔内尔,G·乔治斯,T·霍弗,R·奥斯,C·克莱因,E·默斯纳,S·莫泽,W·谢弗,J·M·尚策,W·朔伊尔,C·祖斯特曼,P·乌马纳. 双特异性HER2抗体及使用方法[P]. 瑞士：CN105829347A,2016-08-03.

[123]陆少波. 一种治疗乳腺癌的药物组合物及其制备方法和应用[P]. 江苏：CN105816813A,2016-08-03.

[124]哈罗尔·戴维·贡,萨利姆·丹吉. 免疫原性抗炎组合物[P]. 加拿大：CN105816863A,2016-08-03.

[125]哈罗尔·戴维·贡,萨利姆·丹吉. 免疫原性抗炎组合物[P]. 加拿大：CN105816864A,2016-08-03.

[126]哈罗尔·戴维·贡,萨利姆·丹吉. 免疫原性抗炎组合物[P]. 加拿大：CN105816865A,2016-08-03.

[127]哈罗尔·戴维·贡,萨利姆·丹吉. 免疫原性抗炎组合物[P]. 加拿大：CN105816866A,2016-08-03.

[128]G·E·皮普尔斯,P·沙提巴兰. 预防乳腺癌复发的疫苗[P]. 美国：CN105816867A,2016-08-03.

[129]陈彦,黄西中,S·金. 用于治疗癌症的组合疗法[P]. 瑞士：CN105828822A,2016-08-03.

[130]J·金姆,J·张. 用PD-1轴结合拮抗剂和紫杉烷治疗癌症的方法[P]. 瑞士：CN105828837A,2016-08-03.

[131]M·I·达姆林,K·M·汉德克,P·萨普拉,A·J·班克维奇,S·J·戴拉. 抗-EFNA4抗体-药物缀合物[P]. 美国：CN105828841A,2016-08-03.

[132]哈罗尔·戴维·贡,萨利姆·丹吉. 免疫原性抗炎组合物[P]. 加拿大：CN105797145A,2016-07-27.

[133]蔡宇航,钱朝阳,管彦芳,朱红梅,易鑫,杨玲,朱晨晨. 试剂盒及其用途[P]. 天津：CN105779434A,2016-07-20.

[134]王晓宏,周衍庆,曹博洋,叶晓飞,朱师达,管彦芳. 肿瘤易感基因目标序列捕获芯片、方法及突变检测方法[P]. 广东：CN105779572A,2016-07-20.

[135]张巨永,陈绍宇,黎美燕. 用于扩增人乳腺癌易感基因BRCA1和BRCA2编码序列的PCR引物及应用[P]. 广东：CN105779636A,2016-07-20.

[136]托妮·维因斯申克,延斯·弗里切,斯特芬·沃尔特,诺伯特·希尔夫,奥利弗·施尔,哈普瑞特·辛格,塞布丽娜·库特鲁夫-科基,科莱特·宋. 几种神经元和脑肿瘤的个性化免疫疗法[P]. 德国：CN105793280A,2016-07-20.

[137]赵敏,王瑾,黄金,邹强,昂琳,郑丽,赵洋,胡红光,刘明强,卫宏权,苏明琴. 基于BCL-6和ZEB-1作为标记物预警乳腺癌转移的方法[P]. 安徽：CN105785006A,2016-07-20.

[138]D·斯托耶德尔,C·布朗,J·贝尔. 溶瘤弹状病毒[P]. 加拿大：CN105769931A,2016-07-20.

[139]徐水蟾,克里斯汀·梅·海格,吴小玲,杨志宏,康斯坦提诺斯·马夫罗马蒂斯,埃伦·菲尔瓦罗夫,史涛. 以基因突变为特征的癌症的预防或治疗中的TOR激酶抑制剂[P]. 美国：CN105792816A,2016-07-20.

[140]高贵,光炜. 一种双拷贝人p53基因重组腺病毒及其制备方法[P]. 天津：CN105755043A,2016-07-13.

[141]韩发彬. 扩增乳腺癌与卵巢癌相关基因的引物、试剂盒及其应用[P]. 山东：CN105754998A,2016-07-13.

[142]S.霍瓦特. 基于表观遗传学标记物来估计组织和细胞类型的年龄的方法[P]. 美国：CN105765083A,2016-07-13.

[143]纪雪梅,刘煜,彭政鑫. 一种抗乳腺癌肿瘤转移的纳米抗体研制[P]. 江苏：CN105753985A,2016-07-13.

[144]乌尔·沙欣,厄兹莱姆·图雷奇,米夏埃尔·科斯洛夫斯基,里塔·米特纳赫特-克劳斯. 用于治疗癌症的单克隆抗体[P]. 德国：CN105753988A,2016-07-13.

[145]李群益,杜永丽,张留弟,刘培红,陈海飞,陈璐,戚慧洁,钟明康,施孝金. 一类调节雌激素相关受体活性的化合物及其医学用途[P]. 上海：CN105753753A,2016-07-13.

[146]G·卫,G·I·弗罗斯特,H·M·谢泼德,C·D·萨诺斯. 修饰的抗表皮生长因子受体抗体及其使用方法[P]. 美国：CN105764924A,2016-07-13.

[147]苏达·拉奥,安朱马·扎法尔. 干细胞调控II[P]. 澳大利亚：CN105764513A,2016-07-13.

[148]李昀辉,袁健,罗坤甜,吴晨明,尹玉娇,李磊,陈玉平,王艺朵. 去泛素化酶USP13在制备预防或者治疗乳腺癌的药物中的用途[P]. 上海：CN105749262A,2016-07-13.

[149]杨爽,张翔,张震,向荣. 基于转录因子ZEB1在制备促进乳腺癌化疗敏感性的药物中的应用[P]. 天津：CN105749283A,2016-07-13.

[150]威廉·J·加纳,阿米·富兰克林,约翰·罗斯曼. 改善比生群治疗效益的组合物[P]. 美国：CN105764501A,2016-07-13.

[151]威廉·J·加纳,阿米·富兰克林,约翰·罗斯曼. 改善比生群及其类似物及衍生物的治疗益处的组合方法[P]. 美国：CN105764502A,2016-07-13.

[152]J·A·特雷特,J·E·奥克罗伊德. 用于治疗癌症的针对LY75的偶联抗体[P]. 英国：CN105745224A,2016-07-06.

[153]杨廷稳. 一种用于治疗乳腺癌的基因工程疫苗及其制备方法[P]. 河南：CN105727283A,2016-07-06.

[154]卢彦敏. 一种治疗乳腺癌的中药制剂及其制备方法[P]. 山东：CN105726714A,2016-07-06.

[155]高申,胡楚玲,顾芬芬,姚翀,高原,宫春爱,夏清明,张丽娟,田泾,曹伟,李佳飞. 一种硫辛酸修饰的纳米多肽载体及其制备方法和应用[P]. 上海：CN105727307A,2016-07-06.

[156]周俊梅,张必萌,韦芳,刘素君,刘鹏. 基于光学成像技术对肿瘤模型有效干预的评价方法[P]. 上海：CN105725963A,2016-07-06.

[157]殷润婷,张志强,陈向凡,罗琳. miRNA-17-3p和miRNA-19b-1组合物及其应用[P]. 江苏：CN105726559A,2016-07-06.

[158]梁健美,孙海军,S·贝蒂,R·罗兰. 癌症生物标记物及其应用[P]. 英国：CN105722997A,2016-06-29.

[159]凯瑟琳·A·施纳贝尔,丹尼斯·C·斯格罗伊,张毅,布罗克·施罗德,马克·G·埃兰德. 预测乳腺癌复发[P]. 美国：CN105722998A,2016-06-29.

[160]宋春花,赵艳艳,蔡建有,薛云红,闫芮,曹晶晶,郭巧云. 一种用NsiI鉴定人乳腺癌BRCA1基因rs8176318多态性的方法[P]. 河南：CN105695614A,2016-06-22.

[161]宋春花,夏宗江,蔡建有,侯瑞生,曹晶晶,闫芮,彭瑞. 一种用BccI鉴定人乳腺癌RAD51基因rs7180135多态性的方法[P]. 河南：CN105695615A,2016-06-22.

[162]A.D.韦斯特威尔,A.布兰卡尔,R.W.E.克拉森,J.索库波瓦. 作为Bcl-3抑制剂的2-苯甲酰氨基苯甲酰胺衍生物[P]. 英国：CN105705496A,2016-06-22.

