[1]孙新,徐沁,梅艳巧,景丹丹. 遗传性乳腺癌与卵巢癌BRCA1/2基因热点突变位点检测试剂盒[P]. 江苏：CN107523609A,2017-12-29.
[53]凯文·韦恩·孔茨,理查德·切兹沃斯,肯尼思·威廉姆·邓肯,海克·凯尔哈克,纳塔利·沃霍里克,克莉丝汀·克劳斯,关真志,白鸟修二,河野聪,提摩西·詹姆斯·尼尔森·维格勒. 芳基或杂芳基取代苯化合物[P]. 美国：CN107311921A,2017-11-03.

[54]宗方隆,程景才,M·阿加沃尔. 含PEITC的药物组合物及其在癌症治疗中的应用[P]. 江苏：CN107303291A,2017-10-31.

[55]不公告发明人. 循环核酸作为乳腺癌生物标志物的应用[P]. 江苏：CN107299129A,2017-10-27.

[56]陈怀增,叶枫,刘佳,洪蝶,王浛知,程琪,余明华,周彩云. 特异性抑制Eya2基因表达的siRNA及其重组载体和应用[P]. 浙江：CN107287200A,2017-10-24.

[57]祁伟,俞磊,康立清,林高武,余宙. 一种用于体内示踪和人工清除CAR#T细胞的标签和应用[P]. 上海：CN107287207A,2017-10-24.

[58]徐新云,王利,毛侃琅,彭鹏. 促进3β#HSD基因表达的表达载体及其构建方法和应用[P]. 广东：CN107287241A,2017-10-24.

[59]陈丽娟,王凯,秦公炜. 一种预测同源重组缺失机制及患者对癌症治疗响应的方法[P]. 上海：CN107287285A,2017-10-24.

[60]陈静,李涛,申琴,焦海燕,杨文君,霍正浩. 柠檬苦素在制备抗肿瘤转移、抗内皮血管新生药物中的应用[P]. 宁夏：CN107281189A,2017-10-24.

[61]张道允,巩子英. 一种用于ESR1突变检测的检测试剂盒[P]. 浙江：CN107267634A,2017-10-20.

[62]丁先锋,张玉涵. 一种lncRNA及其在作为乳腺癌合并肺癌检测标记物或预后复发标记物中的应用[P]. 浙江：CN107267606A,2017-10-20.

[63]王建华,郝旻罡,成广存,郑江花,王秀敏,王莹莹,孟祥军. HIC1在肿瘤诊断、治疗、预后和预测复发中的应用[P]. 上海：CN107267597A,2017-10-20.

[64]V·阿布科维奇,A·古廷,K·蒂姆斯,J·兰奇布瑞. 用于评估杂合性丢失的方法与材料[P]. 美国：CN107267598A,2017-10-20.

[65]H·萨利赫,L·格罗塞-霍韦斯特,A·赫尔曼,H-G·科普,S·拉布. 用于治疗转移性疾病的RANKL特异性试剂[P]. 瑞士：CN107278207A,2017-10-20.

[66]郑猛,林曙光. 抗人ADRB3单克隆抗体及其在疾病诊断和治疗中的应用[P]. 广东：CN107271675A,2017-10-20.

[67]N·R·纳莱恩,R·萨兰加拉简,V·K·维什纽达斯. 基于细胞的探询式分析及其应用[P]. 美国：CN107273712A,2017-10-20.

[68]曹先艳,王文峰,施亮. 一种MDA#MB#231乳腺癌细胞专用冻存液[P]. 江苏：CN107258768A,2017-10-20.

[69]张洁,黄望,杨华蓉,张梦甜. 一种抗肿瘤联合用药物及其在制备抗癌药物中的用途[P]. 四川：CN107261145A,2017-10-20.

[70]J.S.波多尔斯基,R.D.维勒. 用于抗孕酮的非毒性递送的组合物和方法[P]. 美国：CN107260746A,2017-10-20.

[71]李群益,陈璐,戚慧洁,叶婷,钟明康,施孝金. 一种与乳腺癌化疗毒性相关的SNP标志物及其应用[P]. 上海：CN107254545A,2017-10-17.

[72]李群益,戚慧洁,陈璐,叶婷,钟明康,施孝金. 一种与乳腺癌新辅助化疗疗效相关的SNP标志物及其应用[P]. 上海：CN107254546A,2017-10-17.

[73]叶枫,陈怀增,洪蝶,刘佳,王浛知,程琪. 特异性抑制PADI2基因表达的siRNA及其重组载体和应用[P]. 浙江：CN107254470A,2017-10-17.

[74]李丽仙,辇伟奇,林昌海,张海伟,唐超,易琳,冉静,何永鹏,唐万燕. 三阴性乳腺癌特异性环状RNA的筛选方法[P]. 重庆：CN107254519A,2017-10-17.

[75]C·库斯利驰,G·波斯特,M·克拉斯. 使用外来体来确定表现型的方法和系统[P]. 瑞士：CN107254538A,2017-10-17.

[76]B.d.戈艾杰,S.d.海杰,T.里德尔,R.霍埃特,O.巴德斯加尔德,J.v.d.温克尔,D.萨蒂恩,P.帕伦,A.F.拉布里恩,J.梅斯特斯,J.舒尔曼,E.N.v.d.布林克. 针对HER2的单克隆抗体[P]. 丹麦：CN107253992A,2017-10-17.

[77]张健行,D.M.戈登伯格,E.A.罗西,D.罗西. 用于诱导对疾病的免疫应答的组合疗法[P]. 美国：CN107252485A,2017-10-17.

[78]落谷孝广,富永直臣. 癌的脑转移的诊断、预防及治疗方法、以及用于通过血脑屏障的药物传输系统[P]. 日本：CN107250378A,2017-10-13.

[79]克拉克·梅森. 结合蛋白质组信息和基因组信息的高通量单细胞分析[P]. 美国：CN107250379A,2017-10-13.

[80]廖生赟,高小龙,孙悦,李川. 用于乳腺癌荧光原位杂交检测的分子探针和检测试剂盒[P]. 广东：CN107245523A,2017-10-13.

[81]许宝芝,秦颖,白蛟腾,杨凯丽. 用于检测HER2基因的FISH探针、其制备方法及应用[P]. 河北：CN107245514A,2017-10-13.

[82]J·J·罗西,S·尹,N·哈比. 针对转铁蛋白受体(TfR)的RNA适体[P]. 美国：CN107249644A,2017-10-13.

[83]A.雅克布维茨,O.富尔德,A.A.林,M.T.桑塔圭达. 工程化的γδT细胞[P]. 美国：CN107249605A,2017-10-13.

[84]霍坎·奥尔松,里卡德·艾内佛斯. 用于治疗乳腺癌的抗组胺药[P]. 瑞典：CN107249587A,2017-10-13.

[85]L·卡洛克,M·塞富尔. 涉及增生性疾病的组合物和方法[P]. 美国：CN107249579A,2017-10-13.

[86]张国君,刘静,沈家欣,何德. 一种光学分子成像报告基因及其用途[P]. 广东：CN107236749A,2017-10-10.

[87]中村康司,冈村健太郎,田村真纪,柳内浩之,菅家彻,鹤下直也,尚卡尔·库马尔. 在体内具有抗肿瘤活性的抗人TROP#2抗体[P]. 日本：CN107236043A,2017-10-10.

[88]徐根兴,华子春,谷鹏,荣志刚,朱浩文,黄佩华. 一种重组人内皮抑素融合蛋白及其制备方法和应用[P]. 江苏：CN107236046A,2017-10-10.

[89]于永政,邵长卿,赵辉,任辉,郭涛. 一种治疗乳腺增生、乳腺癌的中药组合物[P]. 山东：CN107233535A,2017-10-10.

[90]许乃寒,张雅鸥,刘磊,何杰,谢伟东. 一种与乳腺癌相关的诊断标志物及其用途[P]. 广东：CN107227354A,2017-10-03.

[91]莱斯利·S·约翰逊,黄菱. 共价双抗体及其用途[P]. 美国：CN107226864A,2017-10-03.

[92]刘韬,陈雪梅,周美玲. 具有高抗原呈递的DC细胞和抗原特异性T细胞及其制备方法和应用[P]. 北京：CN107217041A,2017-09-29.

[93]王振,谢枫. OTUD5的单克隆抗体制备及其在癌症治疗中的用途[P]. 江苏：CN107216391A,2017-09-29.

[94]S·O·多罗尼纳,P·D·森特,B·E·托克,A·J·艾本斯,T·B·克林,P·波拉克斯,M·X·斯利沃科夫斯基,S·D·斯班舍. 能够与配体偶联的单甲基缬氨酸化合物[P]. 美国：CN107213469A,2017-09-29.

[95]N·西尔韦斯特雷,M·盖斯特,K·里特纳,J-B·马尔尚,C·蒂欧德勒特. 用于表达免疫检查点调节因子的溶瘤病毒[P]. 法国：CN107208069A,2017-09-26.

[96]L·莫利内罗,P·赫格德. 用于癌症预后和治疗的方法和组合物[P]. 瑞士：CN107208138A,2017-09-26.

[97]露丝·卡茨. 使用基因组特异性探针的循环肿瘤和肿瘤干细胞检测[P]. 美国：CN107208151A,2017-09-26.

[98]斯图尔特·阿博特,詹姆士·W·爱丁格,亚历山大·弗兰茨基,亚历山大·卡普鲁诺维斯基,弗拉基米尔·扬科维奇,克利斯登·拉巴左,埃里克·劳,尼拉弗·D·帕德里亚,詹妮弗·帕雷德斯,王佳伦. 羊膜来源的贴壁细胞[P]. 美国：CN107201337A,2017-09-26.

[99]刘韬,陈雪梅,周美玲. 抗原特异性T细胞及其制备方法和应用[P]. 北京：CN107201380A,2017-09-26.

[100]王先明,简文静,肖瑜,刘维湘. 一种用于乳腺癌发病风险预测的多因素模型及其建立方法[P]. 广东：CN107201401A,2017-09-26.

[101]杨帆,V·谢尔恩伯杰,丁晟,德西蕾·赛耶,王家威. 靶向XTEN缀合物组合物及其制备方法[P]. 美国：CN107207564A,2017-09-26.

[102]P.A.埃斯卡普,S.J.黛拉,R.A.斯塔尔,D.刘. 抗#CLDN嵌合抗原受体和使用方法[P]. 美国：CN107207580A,2017-09-26.

[103]刘秀峰,刘吉华,吴娟娟,沈辰. 一种靶向性抗肿瘤融合蛋白质ALA的制备和应用[P]. 江苏：CN107200784A,2017-09-26.

[104]J·S·莫瓦特,T·斯特菲尔德,C·斯特莱斯曼,R·休利格,S·科尔,D·斯托凯特,J·威斯克,T·布伦比,N·巴勒,C·克莱斯特,A·特尔拉克,V·巴道克,R·H·克兰普顿,I·斯特法努缇. 新的芳基#氰基胍化合物[P]. 德国：CN107207442A,2017-09-26.

[105]S·D·布朗,C·A·科伯恩,O·哈伦科. 被取代的杂环作为溴结构域抑制剂[P]. 加拿大：CN107207474A,2017-09-26.

[106]马库斯·雷恩施乐,马克·阿勒斯. 组合疗法[P]. 美国：CN107205979A,2017-09-26.

[107]布莱恩·J·赫尔尼奇,加里·K·科斯基. 用于基于免疫的治疗的免疫原性MHCII类肽的鉴定[P]. 美国：CN107206045A,2017-09-26.

[108]布莱恩·J·赫尔尼奇,加里·K·科斯基. 多剂量注射用树突状细胞疫苗的制备,用于阻断HER2和HER3的联合治疗和雌激素受体阳性HER2乳腺癌治疗[P]. 美国：CN107206061A,2017-09-26.

[109]C·克莱因,V·卡兰尼卡斯,P·乌马纳,A·齐佩利乌斯,D·托曼,J·施莱纳. T细胞活化性双特异性抗原结合分子CD3 ABD叶酸受体1(FolR1)和PD#1轴结合拮抗剂的组合疗法[P]. 瑞士：CN107206072A,2017-09-26.

[110]宋鑫,付桥粉,孟旭东. 一种特异性敲减人BRCC3基因慢病毒的构建及在肺癌中的应用[P]. 江苏：CN107190007A,2017-09-22.

[111]鱼亮,赵晋. 基于miRNA数据和组织特异性网络的药物重定位方法[P]. 陕西：CN107194203A,2017-09-22.

[112]李湘奇,党相国,王莹. 一种治疗乳腺癌的口服中药[P]. 山东：CN107184899A,2017-09-22.

[113]高申,宫春爱,胡楚玲,顾芬芬,夏清明,高原,武鑫,张丽娟,田泾,强磊. 一种硫辛酸修饰的靶向整合素αvβ3纳米多肽载体及其制备方法和应用[P]. 上海：CN107184987A,2017-09-22.

[114]徐新云,彭鹏,袁建辉,毛侃琅,王利. 促进StAR基因表达的表达载体及其构建方法和应用[P]. 广东：CN107177633A,2017-09-19.

[115]蒙敏,潘加奎,肖飞. 一种检测雌激素敏感性易感基因的检测试剂盒[P]. 上海：CN107177695A,2017-09-19.

[116]王亚帝,何东宁,任立群,陈素贤,李敏,范仲凯,佟青. 一种预测乳腺癌内分泌治疗后血脂异常的方法[P]. 辽宁：CN107179413A,2017-09-19.

[117]A·M·琳恩,J·F·维拉. 使用嵌合细胞因子受体逆转肿瘤微环境的影响[P]. 美国：CN107164330A,2017-09-15.

[118]喻德华,刘佳苏. 一种基于荧光PCR检测ESR1基因突变的引物及探针[P]. 广东：CN107164519A,2017-09-15.

[119]徐水蟾,克里斯汀·梅·海格,安东尼娅·洛佩兹-吉罗纳,希瑟·雷蒙,拉玛·K·娜尔拉,拉杰什·乔普拉. 利用TOR激酶抑制剂治疗癌症[P]. 美国：CN107157990A,2017-09-15.

[120]马荣华. 一种方便快速的MCF#7乳腺癌细胞的复苏方法[P]. 江苏：CN107151657A,2017-09-12.

[121]张笑人. 巴斯德毕赤酵母中人RANK胞外段蛋白的表达纯化及其应用[P]. 上海：CN107151673A,2017-09-12.

[122]S.D.奈特,K.A.纽兰德,X.田. ZESTE增强子同源物2抑制剂[P]. 英国：CN107148419A,2017-09-08.

[123]朱奇,胡文晖,黄珂,钟芊芊. 一种乳腺癌/卵巢癌易感基因建库试剂盒[P]. 广东：CN206476992U,2017-09-08.

[124]蔡志坚,王建莉,张方慧,杨云山. CD19阳性外泌体作为分子标记在制备肿瘤诊断试剂盒中的应用及试剂盒[P]. 浙江：CN107144688A,2017-09-08.

[125]张华,江成世,张娟,宋佳丽,成志强,费艳,李美娇,李越,王溪. 一种具有α,β#不饱和酮结构片段的孕烯醇酮衍生物及其用途[P]. 山东：CN107129517A,2017-09-05.

[126]管斐,宫春爱,高原,武鑫. 一种硫辛酸修饰的固有无序蛋白纳米载体及其制备方法和应用[P]. 上海：CN107129522A,2017-09-05.

[127]王一然,王宁,王雅杰,刘传. 一种判断三阴性乳腺癌抗药性的方法[P]. 上海：CN107119104A,2017-09-01.

[128]冯旭,赵丽敏,柯浩,张洪磊. 一种乳腺癌标志物及其用途[P]. 云南：CN107119126A,2017-09-01.

[129]陈立国,邹伟权,张亚丽,李庆祥,母润红,王涛,苏焱. 一种快速检测HER#2/neu基因表达的检测试剂盒及检测方法[P]. 广东：CN107119137A,2017-09-01.

[130]陈令浩. 一种治疗乳腺癌药物瑞博西尼中间体的制备方法[P]. 山东：CN107118215A,2017-09-01.

[131]张乃刚,安德烈斯·洛佩兹-阿尔百特罗,许红. 双特异性HER2和CD3结合分子[P]. 美国：CN107124884A,2017-09-01.

[132]陈晓诚,M·丹尼斯,J·R·朱纳特拉,G·L·菲利普斯,T·H·皮洛,M·X·斯莱夫科夫斯基. 包含抗HER2抗体和吡咯并苯并二氮杂*的免疫缀合物[P]. 美国：CN107124870A,2017-09-01.

[133]布莱恩·J·赫尔尼奇,加里·K·科斯基. 多剂量注射用树突状细胞疫苗的制备及用于阻断HER2和HER3的联合治疗[P]. 美国：CN107109365A,2017-08-29.

[134]汤家楣,D.亚当斯. 在血液中的循环细胞生物标记在检测和诊断疾病中的应用及其分离方法[P]. 美国：CN107109477A,2017-08-29.

[135]M·侯赛尼. 用于OX40激动剂治疗的功效预测和评估的方法和生物标志物[P]. 瑞士：CN107109484A,2017-08-29.

[136]A·C·彼得森,H·乌帕尔. 预测对乳腺癌治疗剂的反应的方法和治疗乳腺癌的方法[P]. 美国：CN107109488A,2017-08-29.

[137]Y·王. 用于治疗和诊断化学疗法抗性癌症的组合物和方法[P]. 瑞士：CN107109491A,2017-08-29.

[138]A·阿什肯纳兹,尹一媛,P·卡特,M·陈,J·索诺达. 抗FGFR2/3抗体及其使用方法[P]. 瑞士：CN107108740A,2017-08-29.

[139]曾琦. 结合细胞内PRL#1多肽或PRL#3多肽的抗体[P]. 新加坡：CN107098970A,2017-08-29.

[140]劳兴珍,王凡文,吴扬生,郑珩,李晴晴. 一种抗肿瘤和免疫增强双重功效融合蛋白[P]. 江苏：CN107098978A,2017-08-29.

[141]S·C·古达克,S·拉巴迪,梁军,D·F·奥尔特温,N·C·雷,X·王,J·茨彼戈,B·张. 四氢#吡啶并[3,4#b]吲哚雌激素受体调节剂及其用途[P]. 瑞士：CN107108611A,2017-08-29.

[142]M.D.艾尔斯,A.罗波达,J.K.伦斯福德,T.K.麦克拉纳汉,E.E.墨菲,M.内博斯海恩. 用于推导对PD#1拮抗剂的反应的基因特征生物标志物的系统和方法[P]. 美国：CN107109700A,2017-08-29.

[143]沈恩允,李哲,赵家根. TRAIL受体结合剂及其用途[P]. 北京：CN107108736A,2017-08-29.

[144]黄容琴,王义,孟颖. 一种基因-光热联合的纳米粒及其制备方法和应用[P]. 上海：CN107096040A,2017-08-29.

[145]苏达·拉奥,安朱马·扎法尔. 用于调节癌干细胞的组合物及其用途[P]. 澳大利亚：CN107106517A,2017-08-29.

[146]J·马萨格,A·博伊尔,Q·陈. 用于治疗脑转移瘤的方法[P]. 美国：CN107106544A,2017-08-29.

[147]P.李,C.王,C.舒. 用cGAMP或cGAsMP治疗癌症的方法[P]. 美国：CN107106589A,2017-08-29.

[148]P·S·阿杜苏米利,M·塞德莱恩,D·S·迪米特罗夫,Y·冯. 靶向间皮素的嵌合抗原受体及其用途[P]. 美国：CN107106665A,2017-08-29.

[149]布莱恩·J·赫尔尼奇,加里·K·科斯基. 用于基于免疫的治疗的免疫原性MHCII类肽的鉴定[P]. 美国：CN107106666A,2017-08-29.

[150]赵阳兵,X·刘,C·H·琼. 用于修饰的T细胞的方法和组合物[P]. 美国：CN107106670A,2017-08-29.

[151]刘诚,刘宏,许奕阳,向京宜,隆力. 靶向AFP肽/MHC复合体的构建体及其用途[P]. 美国：CN107106671A,2017-08-29.

[152]Z·A·曹,X·容,M·C·皮索恩-奥尔蒂斯,T·朗迈尔,B·H·李. 组合治疗[P]. 瑞士：CN107106687A,2017-08-29.

[153]肖圆圆,C·拜斯,Y·崔,N·C·肯萨尔瓦. 预测对VEGF拮抗剂的响应[P]. 瑞士：CN107106688A,2017-08-29.

[154]J·J·罗西,S·尹,N·哈比. PDGFR RNA适体[P]. 美国：CN107106697A,2017-08-29.

[155]李·亚当·惠勒,朱迪·利伯曼,阿迪·吉尔伯-格芬. 用于治疗癌症的方法和组合物[P]. 美国：CN107106704A,2017-08-29.

[156]C·刘,D·L·齐默尔曼,G·M·哈罗,K·科特斯,W·M·卡瓦诺,L·龙,M·考尔德伦-卡西,A·H·霍维茨. M#CSF特异性单克隆抗体及其应用[P]. 美国：CN107090034A,2017-08-25.

[157]B·卡巴科夫,刘骏,N·皮罗斯,朱青,B·德姆勒. 抗C#MET抗体配制剂[P]. 瑞士：CN107090038A,2017-08-25.

[158]乌尔·沙欣,厄兹莱姆·图雷奇,米夏埃尔·科斯洛夫斯基,科登·沃尔特,斯特凡·韦尔,玛丽亚·克罗伊茨贝格,贝恩德·胡布纳,米夏埃尔·埃尔代连,米夏埃尔·魏歇尔. 用于治疗表达密蛋白6之癌症的抗体[P]. 德国：CN107090043A,2017-08-25.

[159]S·巴克塔,M·C·黑曾,J-A·S·杭戈,J·R·朱努塔拉. 用于肿瘤诊断和治疗的组合物和方法[P]. 瑞士：CN107090045A,2017-08-25.

[160]A.J.贾尼夫斯基,N.迪米特罗瓦,S.卡马拉卡兰,Y.H.阿尔萨法迪,N.巴纳吉,A.I.D.布库尔,J.J.A.范利尤文,V.V.瓦拉丹. 医学分析系统[P]. 荷兰：CN107092770A,2017-08-25.

[161]朱凯,陈悦科,陈成,刘璐,吴燕灵. 一种BRCA1/2基因变异联合检测试剂盒及其应用[P]. 上海：CN107083442A,2017-08-22.

[162]宋尔卫,姚燕丹,张明霞. 一种嵌合抗原受体并融合诱导性凋亡酶的复合蛋白[P]. 广东：CN107082811A,2017-08-22.

[163]G·塞雷罗. 诊断癌症和确定癌症患者的总体生存和无病生存的方法[P]. 美国：CN107085108A,2017-08-22.

[164]詹姆斯·R·普鲁登特. 细胞外靶向药物缀合物[P]. 美国：CN107080847A,2017-08-22.

[165]罗益华,陈晴,吴春晓. 一种用于检测人Brca易感基因的探针、引物及试剂盒[P]. 上海：CN107058510A,2017-08-18.

